order_id,user_id,amount,status,created_at
1,101,1500.50,paid,2026-06-01
2,102,700.00,paid,2026-06-01
3,103,0.00,cancelled,2026-06-01
4,104,2500.75,paid,2026-06-02
5,105,50.75,new,2026-06-02
6,106,1200.00,paid,2026-06-03
7,107,99.99,cancelled,2026-06-03
8,108,345.20,paid,2026-06-04
9,109,880.00,new,2026-06-04
10,110,15.00,paid,2026-06-05
11,111,300.00,unknown,2026-06-05
12,112,-5.00,paid,2026-06-05
13,,250.00,new,2026-06-06
14,114,,paid,2026-06-06
15,115,300.00,paid,2026-06-06
16,116,450.50,new,2026-06-07
17,117,100.00,cancelled,2026-06-07
18,118,790.00,paid,2026-06-07
19,119,25.00,new,2026-06-08
20,120,1000.00,paid,2026-06-08
